#{"t_start": 1583703728.031399, "env_id": null}
r,l,t
-10384.414828,200,3.435999
-12116.949551,200,4.621231
-13241.714244,200,5.911365
-12984.799204,200,7.25934
-14787.855659,200,8.61933
-12307.649982,200,9.881337
-13627.949955,200,11.167329
-10557.060493,200,12.417396
-15396.614076,200,13.733812
-12391.840676,200,14.903844
-12240.490492,200,16.227888
-13593.88084,200,17.439851
-12496.781717,200,18.712811
-10994.993691,200,20.057258
-11258.275635,200,21.315406
-10737.29421,200,22.765632
-11370.691382,200,23.983623
-10183.010681,200,25.444627
-10290.760532,200,26.912944
-9086.022517,200,28.227909
-8862.579749,200,29.611743
-8850.408006,200,30.958742
-8991.928572,200,32.417792
-9211.517301,200,33.799865
-8499.692102,200,35.395867
-8538.646953,200,36.795914
-8335.692735,200,38.273974
-8048.392642,200,39.583548
-8624.286499,200,40.950588
-6369.683115,200,42.426546
-7946.219887,200,43.757544
-8745.357055,200,45.152574
-7857.660498,200,46.636677
-8147.890489,200,48.192269
-6995.134794,200,49.61216
-6879.057885,200,51.163909
-6279.441269,200,52.474257
-6529.821358,200,53.881257
-6294.831889,200,55.164376
-6244.662818,200,56.862565
-8185.496701,200,58.195511
-6939.736736,200,59.714555
-8691.789959,200,61.186589
-6727.48629,200,62.619779
-6246.882091,200,64.141848
-6271.048843,200,65.530967
-6256.952462,200,66.852897
-7244.56893,200,68.415895
-6223.102168,200,69.828102
-6511.332648,200,71.381284
-6375.688272,200,72.74842
-6048.540798,200,74.370375
-6422.110941,200,75.782831
-7282.974237,200,77.355088
-6896.704964,200,78.662703
-6564.89143,200,80.008935
-7235.824374,200,81.472889
-6528.320856,200,82.874893
-6551.304217,200,84.346893
-6474.608818,200,85.655045
-6537.880234,200,86.959267
-6540.492835,200,88.376397
-7150.18639,200,89.758255
-6562.316056,200,91.205615
-6304.928859,200,92.719697
-6357.189557,200,94.286653
-6119.102837,200,95.871801
-7136.905826,200,97.157766
-6250.6362,200,98.450066
-6285.183046,200,99.869071
-6449.950968,200,101.440065
-8356.085959,200,102.982108
-8612.27072,200,104.444119
-8748.840648,200,106.069066
-8430.100611,200,107.794066
-8154.507188,200,109.285068
-7321.203896,200,110.974176
-5774.889883,200,112.456417
-8756.737684,200,113.992457
-8587.05801,200,115.730518
-7072.640226,200,117.308526
-6274.235062,200,118.809937
-5676.251361,200,120.270936
-7027.326954,200,121.835979
-7225.580304,200,123.288077
-6969.390681,200,124.898074
-8336.396283,200,126.908221
-6398.041419,200,128.416272
-7827.356676,200,129.849379
-7296.823463,200,131.394612
-8062.898779,200,133.176765
-7035.115531,200,134.679302
-7601.45837,200,136.133672
-7812.679782,200,137.641907
-8158.96016,200,139.202865
-8951.420967,200,140.487039
-8912.150725,200,141.823905
-7823.247953,200,143.528912
-7101.475354,200,145.176027
-7201.598077,200,146.788107
-8239.568035,200,148.323642
-7097.691598,200,149.840687
-7386.650485,200,151.365749
-7066.350219,200,152.892913
-7553.966676,200,154.317913
-7185.343047,200,155.740417
-7622.266166,200,157.309533
-8272.796293,200,159.246726
-8194.847964,200,160.970733
-7184.106332,200,162.513809
-7786.046113,200,163.895958
-8191.049262,200,165.585921
-7755.463432,200,167.732913
-7643.699386,200,169.312745
-7553.013322,200,170.773829
-8179.430171,200,172.353797
-8119.225914,200,173.892911
-8197.600744,200,175.408014
-8174.49369,200,176.870403
-7104.452669,200,178.536194
-7424.45923,200,180.08519
-7049.973249,200,181.538199
-7016.714442,200,183.344322
-7151.386171,200,184.779832
-8210.790032,200,186.507823
-7461.28023,200,188.142006
-7713.398273,200,189.853775
-7474.411205,200,191.28299
-6951.449903,200,192.654408
-7075.283972,200,194.385721
-7757.548299,200,195.728857
-7451.022416,200,197.202895
-6917.660268,200,198.748208
-6796.265954,200,200.746901
-8190.791402,200,202.441968
-8156.408643,200,203.983807
-7289.515294,200,205.878239
-7081.629677,200,207.143415
-7688.879773,200,208.769069
-7878.512645,200,210.264164
-6981.69602,200,211.904205
-7682.515716,200,213.425322
-8186.549602,200,215.42528
-7100.153222,200,216.886558
-7193.69141,200,218.248752
-8195.21348,200,220.274744
-6339.076627,200,221.848977
-7934.575489,200,223.408977
-7715.954421,200,224.767098
-8796.186848,200,226.208153
-8806.693803,200,227.411254
-8207.37542,200,229.206254
-8241.797678,200,230.667571
-8118.498283,200,232.228476
-7186.68937,200,233.759485
-8035.870225,200,235.034475
-8882.346934,200,236.423474
-9122.528264,200,237.877485
-9076.634398,200,239.254486
-9568.573757,200,240.675733
-10944.561119,200,242.095344
-9918.938951,200,243.839311
-10486.703591,200,245.218391
-10781.909228,200,246.468509
-10033.936497,200,247.937961
-10489.426849,200,249.487038
-9542.898868,200,250.828166
-8462.403503,200,252.130202
-9791.548445,200,253.718248
-8997.854303,200,255.211808
-10934.221861,200,256.530913
-10242.147057,200,257.850953
-10564.799026,200,259.092098
-8707.946189,200,260.399195
-9184.154718,200,261.653216
-10244.741853,200,263.520307
-8626.526113,200,264.990529
-9346.17189,200,266.512495
-7742.572656,200,267.724674
-7797.780406,200,269.457667
-8078.180699,200,270.838919
-8803.449073,200,272.257423
-8592.318142,200,273.477456
-8154.384432,200,274.943577
-7714.126582,200,276.374673
-7526.467948,200,277.908532
-8825.320399,200,279.338724
-7989.127767,200,280.836813
-9452.636956,200,282.293107
-9783.322756,200,283.889163
-10630.1881,200,285.507498
