#{"t_start": 1583747727.9534037, "env_id": null}
r,l,t
36.655116,200,2.061904
38.401632,200,2.832892
40.960505,200,3.675891
50.621927,200,4.405856
60.748525,200,5.093802
69.48076,200,5.919795
48.676662,200,6.641371
48.649508,200,7.535368
49.407603,200,8.295299
49.869184,200,9.230736
50.985606,200,10.084831
48.109409,200,10.959587
42.230077,200,11.726233
77.37058,200,12.652018
60.772445,200,13.517573
76.09711,200,14.275949
157.586859,200,15.128212
195.80792,200,15.95989
152.02032,200,16.733892
180.62425,200,17.672577
197.544096,200,18.503125
239.325316,200,19.390503
209.475482,200,20.357689
239.155409,200,21.239699
250.089206,200,22.053688
124.595195,200,22.853487
203.805865,200,23.648919
206.881198,200,24.445651
153.455613,200,25.296137
188.665858,200,26.272925
252.390187,200,27.110906
249.780972,200,27.973179
168.662166,200,28.902744
217.896776,200,29.639321
175.804026,200,30.389296
193.291768,200,31.324168
188.042758,200,32.100945
240.037565,200,32.882688
212.801529,200,33.60961
148.565057,200,34.372033
227.884547,200,35.119361
216.615834,200,35.911068
199.579863,200,36.814728
224.42782,200,37.558975
239.866103,200,38.320268
249.996315,200,39.165639
242.597407,200,39.924569
249.535673,200,40.715036
228.546896,200,41.477978
246.041578,200,42.375975
258.372919,200,43.089652
246.731968,200,43.850682
262.898038,200,44.578913
264.388473,200,45.337174
249.929528,200,46.112238
252.727106,200,46.904555
273.758459,200,47.790772
244.321271,200,48.535827
267.563152,200,49.371594
225.247596,200,50.116347
251.669465,200,50.973638
250.625541,200,51.733183
249.058325,200,52.525796
268.914795,200,53.53538
229.151394,200,54.305384
222.11461,200,55.0726
243.709829,200,55.901334
238.290388,200,56.683608
243.687479,200,57.451382
226.622269,200,58.207135
264.331812,200,59.046525
233.471451,200,59.893093
199.846673,200,60.763617
260.585326,200,61.546619
227.38373,200,62.36266
243.618279,200,63.109715
239.552237,200,63.916293
214.695616,200,64.804288
226.68089,200,65.594314
216.778759,200,66.383422
204.385501,200,67.222012
261.729709,200,67.996032
217.094151,200,68.738067
205.222799,200,69.549471
198.783817,200,70.470468
230.303969,200,71.275761
218.923221,200,72.053326
