#{"t_start": 1583696083.587717, "env_id": null}
r,l,t
-200,200,3.717614
-200,200,5.189613
-200,200,6.385613
-200,200,7.320584
-200,200,8.305801
-200,200,9.627811
-200,200,12.281807
-200,200,13.156046
-200,200,13.89522
-200,200,15.397187
-200,200,18.59119
-200,200,19.307157
-200,200,20.05908
-200,200,20.763869
-200,200,21.503675
-200,200,22.221174
-200,200,23.023006
-200,200,23.838037
-200,200,24.545299
-200,200,25.300446
-200,200,26.877445
-200,200,27.873471
-200,200,28.826024
-200,200,29.590422
-200,200,30.347401
-200,200,31.077666
-200,200,32.142725
-200,200,33.503726
-200,200,34.379729
-200,200,35.097276
-200,200,35.878276
-200,200,36.819827
-200,200,37.529361
-200,200,38.269135
-200,200,38.995694
-200,200,39.910691
-200,200,40.64566
-200,200,41.435633
-200,200,42.152758
-200,200,42.907946
-200,200,43.652983
-200,200,44.366983
-200,200,45.177175
-200,200,45.965176
-200,200,46.693972
-200,200,47.41041
-200,200,48.183896
-200,200,48.897828
-200,200,49.70401
-200,200,50.50022
-200,200,51.292947
-200,200,52.031591
-200,200,52.729918
-200,200,53.483161
-200,200,54.207773
-200,200,54.953849
-200,200,55.676279
-200,200,56.504582
-200,200,57.263588
-200,200,57.964065
-200,200,58.708993
-200,200,59.434665
-200,200,60.291999
-200,200,61.067999
-200,200,61.964998
-200,200,62.714259
-200,200,63.434756
-200,200,64.164132
-200,200,64.800432
-200,200,65.534462
-200,200,66.298213
-200,200,67.094616
-200,200,67.913637
-200,200,68.59648
-200,200,69.338249
-200,200,70.045832
-200,200,70.888807
-200,200,71.61496
-200,200,72.363496
-200,200,73.202549
-200,200,74.211548
-200,200,75.077891
-200,200,75.818584
-200,200,76.623365
-200,200,77.494391
-200,200,78.459019
-200,200,79.297017
-200,200,80.120018
-200,200,80.922546
-200,200,81.777555
-200,200,82.521418
-200,200,83.230798
-200,200,84.114408
-200,200,84.814009
-200,200,85.552108
-200,200,86.267134
-200,200,87.019957
-200,200,87.781478
-200,200,88.484112
-200,200,89.257702
-200,200,90.056338
-200,200,90.821925
-200,200,91.57111
-200,200,92.426769
-200,200,93.198416
-200,200,93.909787
-200,200,94.708896
-200,200,95.566897
-200,200,96.378152
-200,200,97.092539
-200,200,97.852139
-200,200,98.559694
-200,200,99.323818
-200,200,100.064791
-200,200,100.9328
-200,200,101.690965
-200,200,102.527447
-200,200,103.314486
-200,200,104.09749
-200,200,104.872193
-200,200,105.641521
-200,200,106.523497
-200,200,107.280567
-200,200,108.037817
-200,200,108.857975
-200,200,109.611638
-200,200,110.403181
-200,200,111.14783
-200,200,112.018787
-200,200,112.810808
-200,200,113.575774
-200,200,114.339398
-200,200,115.065317
-200,200,115.811626
-200,200,116.558618
-200,200,117.485381
-200,200,118.243383
-200,200,119.018327
-200,200,119.800267
-200,200,120.582006
-200,200,121.422906
-200,200,122.21479
-200,200,123.176791
-200,200,124.085792
-200,200,124.884389
-200,200,125.714232
-200,200,126.502221
-200,200,127.471184
-200,200,128.340616
-200,200,129.115013
-200,200,129.837372
-200,200,130.614607
-200,200,131.387606
-200,200,132.111373
-200,200,132.858335
-200,200,133.701707
-200,200,134.618707
-200,200,135.369035
1517,200,136.254686
-200,200,137.169684
-200,200,138.083684
-200,200,138.930525
-200,200,139.855526
-200,200,140.69991
-200,200,141.450912
-200,200,142.387779
-200,200,143.257777
-200,200,144.118778
-200,200,145.15878
-200,200,145.879821
-200,200,146.609542
-200,200,147.310931
-200,200,148.065588
-200,200,148.765744
-200,200,149.506477
-200,200,150.289761
-200,200,151.008041
-200,200,151.725702
-200,200,152.409295
-200,200,153.17725
-200,200,153.88778
-200,200,154.622803
-200,200,155.465459
-200,200,156.288482
-200,200,157.024636
-200,200,157.748146
-200,200,158.503686
-200,200,159.163624
-200,200,159.865322
-200,200,160.550607
-200,200,161.391543
-200,200,162.119538
-200,200,162.964533
-200,200,163.774038
-200,200,164.524469
-200,200,165.267259
-200,200,166.073451
-200,200,166.895064
-200,200,167.581734
-200,200,168.321048
-200,200,169.077583
-200,200,169.788404
-200,200,170.550286
-200,200,171.267897
-200,200,172.110029
-200,200,172.913072
-200,200,173.685402
-200,200,174.403056
-200,200,175.136482
-200,200,175.900541
-200,200,176.715432
-200,200,177.539423
-200,200,178.336425
-200,200,179.11827
-200,200,179.833914
-200,200,180.801378
-200,200,181.763422
-200,200,182.732413
-200,200,183.602339
-200,200,184.529581
-200,200,185.49318
-200,200,186.430166
-200,200,188.386166
-200,200,189.328211
-200,200,190.265167
-200,200,191.177168
-200,200,192.212164
-200,200,193.074203
-200,200,194.163198
-200,200,195.014197
-200,200,196.089075
-200,200,196.892046
-200,200,197.702048
-200,200,198.632049
-200,200,199.457139
-200,200,200.302137
-200,200,201.056139
-200,200,201.785167
-200,200,202.582939
-200,200,203.328396
-200,200,204.136421
-200,200,205.140395
-200,200,206.164393
-200,200,207.182393
-200,200,208.205395
-200,200,210.375397
-200,200,213.285395
-200,200,218.221394
-200,200,220.3504
-200,200,222.448395
-200,200,223.805398
-200,200,225.151398
-200,200,226.711394
-200,200,230.193391
-200,200,231.959396
-200,200,233.185395
-200,200,234.104736
-200,200,235.045058
-200,200,236.009059
-200,200,236.876057
-200,200,237.677056
-200,200,238.548054
-200,200,239.36606
-200,200,240.881577
-200,200,242.003626
-200,200,243.625623
-200,200,245.159624
-200,200,246.279628
-200,200,247.734629
-200,200,248.852164
-200,200,249.889156
-200,200,251.090157
-200,200,252.669682
