#{"t_start": 1583717304.8478985, "env_id": null}
r,l,t
73.583644,200,1.685232
80.202731,200,2.360188
104.135237,200,3.005705
105.840171,200,3.704774
92.333958,200,4.447673
91.219189,200,5.126592
78.522834,200,5.767876
100.196027,200,6.584235
108.942279,200,7.303205
115.150206,200,8.043787
109.678846,200,8.863786
123.688616,200,9.757787
111.294063,200,10.661807
120.493885,200,11.522789
116.296615,200,12.441816
112.102973,200,13.269789
130.428156,200,14.131787
112.917804,200,15.104791
105.97641,200,15.992787
103.057072,200,16.828812
103.932686,200,17.655787
111.380299,200,18.537786
112.732597,200,19.361787
122.873051,200,20.229788
118.021046,200,21.347823
113.746925,200,22.293792
122.685528,200,23.221786
112.039075,200,24.142786
113.986337,200,25.220789
116.589956,200,25.998023
132.740339,200,26.831574
126.861673,200,27.538558
125.137296,200,28.219146
112.756534,200,29.023322
125.872732,200,29.78712
113.012413,200,30.692117
112.88612,200,31.953119
118.564363,200,33.102119
118.024527,200,33.99512
115.704769,200,34.95812
125.722987,200,35.993119
111.325644,200,37.182121
117.021371,200,38.49112
119.676584,200,39.58912
131.63069,200,40.512119
118.676478,200,41.41812
115.21065,200,42.357121
132.765015,200,43.439122
114.740035,200,44.428119
136.407126,200,45.348119
117.924278,200,46.26212
137.990803,200,47.075639
138.799581,200,47.834763
138.306885,200,48.741764
123.935418,200,49.517451
139.47466,200,50.435836
130.212879,200,51.516833
132.051374,200,52.341815
130.674722,200,53.083516
140.32089,200,53.919498
144.174695,200,55.083493
139.539061,200,56.015484
136.922451,200,56.992485
139.091039,200,57.764436
138.419392,200,58.514735
137.248071,200,59.254121
135.347453,200,60.087193
138.007626,200,60.835204
135.132425,200,61.553903
140.445584,200,62.280353
137.06068,200,62.983242
135.180488,200,63.720174
129.000048,200,64.543244
139.752226,200,65.389277
129.341767,200,66.114369
134.550689,200,66.82026
138.92017,200,67.553323
136.088241,200,68.254849
133.9185,200,68.976192
131.129725,200,69.669204
133.187814,200,70.457142
135.28144,200,71.256611
138.378592,200,71.96215
136.236207,200,72.686592
134.646211,200,73.386916
133.884349,200,74.103212
130.522864,200,74.825612
134.776585,200,75.616958
133.398454,200,76.465929
136.708173,200,77.170525
132.837839,200,77.913177
141.687428,200,78.634362
122.64939,200,79.37103
139.59559,200,80.07197
135.119465,200,80.808537
118.638515,200,81.655222
2120.181599,200,82.352633
122.991273,200,83.085504
129.801523,200,83.781936
129.56472,200,84.555273
119.706637,200,85.304369
125.762066,200,86.108606
123.023619,200,86.907123
122.371854,200,87.688758
132.598449,200,88.430046
137.781574,200,89.127421
138.163192,200,89.874069
137.20751,200,90.575605
138.351703,200,91.310043
139.505056,200,92.01233
137.980757,200,92.871306
139.96221,200,93.584785
139.515182,200,94.304017
136.31844,200,95.035464
144.703626,200,95.829601
135.441556,200,96.610411
140.893052,200,97.460434
142.741193,200,98.396433
128.961994,200,99.139037
141.826811,200,99.972063
134.829724,200,100.741735
138.68016,200,101.597735
139.84171,200,102.314115
139.20837,200,103.006783
139.331023,200,103.8396
139.705392,200,104.536445
142.720624,200,105.273083
138.407186,200,106.015142
139.376503,200,106.861309
140.36668,200,107.605542
138.138598,200,108.294042
134.584258,200,109.127985
136.636965,200,109.83149
128.639025,200,110.643278
128.849601,200,111.49131
140.526816,200,112.219034
136.229138,200,112.945754
130.440464,200,113.670603
129.998139,200,114.564332
119.511967,200,115.249379
134.028463,200,115.974039
127.191765,200,116.709589
132.745136,200,117.50759
121.291769,200,118.205502
125.334912,200,118.939017
111.429949,200,119.75599
124.980666,200,120.466663
101.791268,200,121.252554
133.022914,200,121.937126
124.562239,200,122.669904
122.289976,200,123.367561
132.401677,200,124.074243
119.241143,200,124.796138
