#{"t_start": 1583775439.4100373, "env_id": null}
r,l,t
257.982787,200,1.883347
225.921801,200,2.719828
140.049867,200,3.501591
114.733757,200,4.325638
70.461146,200,5.118556
-302.289687,200,5.941374
-82.12332,200,6.808099
-449.229952,200,7.726424
75.813696,200,8.568518
137.889808,200,9.383465
-414.289486,200,10.19853
26.857184,200,11.006525
-156.274194,200,11.909206
16.877588,200,12.697312
64.913981,200,13.539647
35.818532,200,14.367636
77.124024,200,15.185194
59.149054,200,16.017944
132.796673,200,16.805878
-556.423723,200,17.699295
10.720542,200,18.548287
-152.682862,200,19.347449
185.731619,200,20.131387
54.88474,200,20.951505
-618.663804,200,21.761494
93.204504,200,22.577003
18.032933,200,23.470216
-352.423688,200,24.270337
110.562589,200,25.106207
-2.350194,200,25.901836
177.566102,200,26.736926
-347.324385,200,27.514704
174.279199,200,28.42904
77.217627,200,29.327393
99.983586,200,30.119115
248.223419,200,30.958143
273.722669,200,31.762737
105.091112,200,32.582022
-478.643668,200,33.374364
69.93092,200,34.277243
195.389767,200,35.123029
-15.463624,200,35.904929
-635.548559,200,36.72044
59.176678,200,37.511383
144.161924,200,38.369982
334.135575,200,39.302875
217.410554,200,40.188909
-283.857842,200,41.031689
156.472538,200,42.183875
-588.349439,200,43.022457
-22.676006,200,43.835463
-396.514076,200,44.745001
-41.752637,200,45.561583
-376.114578,200,46.407703
-702.711077,200,47.211679
-332.935467,200,48.172422
-863.083409,200,49.087739
-391.27857,200,50.157123
273.518127,200,51.162013
42.444865,200,52.059977
115.522339,200,52.920744
-314.312823,200,53.705952
-4.364789,200,54.512539
-156.404561,200,55.308631
-319.811837,200,56.198106
-137.969544,200,57.036577
-209.204438,200,57.825042
-420.489243,200,58.617322
56.259709,200,59.410515
-46.57385,200,60.22023
-279.776193,200,61.093629
-366.055268,200,61.964926
-553.663042,200,62.786656
205.486534,200,63.572365
-32.31867,200,64.40051
61.603372,200,65.186949
-250.031996,200,65.995119
-273.781239,200,66.886705
-514.052927,200,67.701352
50.542185,200,68.560726
-381.423109,200,69.612727
-190.906335,200,70.499581
-868.900405,200,71.376969
-636.908112,200,72.261248
220.101833,200,73.08151
-898.172243,200,73.914929
-1353.32274,200,74.695442
-0.299843,200,75.510798
80.154963,200,76.338152
-187.209325,200,77.1216
-556.769601,200,78.065942
538.246985,200,78.876791
-622.82578,200,79.673041
-0.306516,200,80.469419
119.564718,200,81.302609
159.261443,200,82.173917
61.967698,200,83.009556
59.906316,200,83.890752
217.570081,200,84.715204
98.079689,200,85.532918
350.706461,200,86.347683
385.156209,200,87.177388
59.371655,200,87.995478
277.993049,200,88.920031
88.355811,200,89.73581
-63.129621,200,90.543001
64.381723,200,91.371666
75.620601,200,92.226693
61.356899,200,93.072107
-119.158191,200,93.912203
88.958119,200,94.78018
320.955061,200,95.59243
103.999879,200,96.435235
237.901423,200,97.270405
749.688758,200,98.108141
138.701914,200,98.947524
108.72571,200,100.012764
-720.123196,200,100.877515
150.568039,200,101.677475
-0.291883,200,102.508522
90.127038,200,103.400645
-194.507186,200,104.194843
62.227781,200,105.131778
-355.403673,200,106.871809
126.327498,200,108.184456
-410.11667,200,109.016758
60.573907,200,109.859071
73.836451,200,110.751671
-98.45356,200,111.633279
110.062439,200,112.488285
59.44775,200,113.50991
117.846669,200,114.523469
355.907782,200,148.362242
-8.602051,200,149.235672
195.319412,200,150.272845
104.674542,200,151.134575
99.00852,200,152.060874
144.06496,200,152.883373
506.309986,200,153.755359
221.797841,200,154.572823
300.106122,200,155.43861
162.571997,200,156.271719
54.498778,200,157.266048
-947.474215,200,158.087242
-160.25307,200,158.930699
530.66236,200,159.793829
52.75712,200,160.612282
795.828413,200,161.497599
82.49427,200,162.326429
-68.366537,200,163.262305
197.47943,200,164.082639
70.376126,200,164.932158
146.345367,200,165.786894
107.466495,200,166.586774
278.368132,200,167.519861
451.553179,200,168.434655
209.51084,200,169.298376
63.136384,200,170.1169
658.96715,200,171.130691
215.103974,200,171.957958
202.561003,200,172.820363
444.468067,200,173.778483
56.786028,200,174.600231
126.339126,200,175.451854
479.825647,200,176.306911
54.154947,200,177.145844
-329.041423,200,178.027425
237.77243,200,178.991076
26.290871,200,180.133104
-77.711319,200,181.028338
185.61604,200,181.984796
123.822483,200,182.921719
-24.775389,200,183.848383
90.128992,200,184.710354
102.983594,200,185.563779
184.224523,200,186.37496
219.064305,200,187.205779
550.045604,200,188.111409
142.186556,200,188.95293
129.462869,200,189.820193
71.522655,200,190.724146
247.191332,200,191.568306
226.677714,200,192.396217
259.137167,200,193.243596
