#{"t_start": 1583692880.8815284, "env_id": null}
r,l,t
113.010975,200,3.148999
108.527082,200,3.866548
84.799367,200,4.551969
119.189808,200,5.269511
101.663386,200,5.943574
123.515612,200,7.348572
85.780764,200,8.24433
137.63507,200,8.879126
100.256613,200,9.510654
124.698041,200,10.122705
109.710625,200,10.750759
112.884809,200,11.350269
125.066578,200,12.093654
1234.955518,200,12.710112
120.50632,200,13.349443
126.961103,200,13.946314
93.14672,200,14.574615
120.668853,200,15.21199
123.253942,200,15.82061
117.599377,200,16.452253
124.155447,200,17.177726
112.958829,200,18.238724
88.779955,200,19.433724
102.769006,200,20.573723
112.011235,200,22.314728
102.799837,200,23.936724
122.346976,200,25.293726
112.582583,200,26.279767
114.465263,200,26.962492
146.569656,200,27.790119
122.469517,200,29.085121
100.526743,200,29.700766
125.564837,200,30.331928
110.954608,200,30.962451
105.320416,200,31.563448
109.903249,200,32.200668
139.008539,200,32.808218
122.727764,200,33.437002
147.813201,200,34.176092
147.112093,200,34.822752
87.936708,200,35.557322
123.081118,200,36.285868
92.8127,200,36.912786
89.622644,200,37.516391
132.034399,200,38.25196
96.239298,200,38.8574
93.179855,200,39.714159
73.346543,200,40.423571
83.770476,200,41.304486
71.119605,200,42.648486
62.996256,200,44.560487
98.64461,200,45.985493
88.244096,200,47.512485
86.339416,200,49.078487
90.571462,200,50.210486
116.442544,200,51.041638
103.547295,200,52.249638
99.290056,200,52.989602
92.472178,200,53.623884
100.961717,200,54.231818
94.302805,200,54.872176
111.265012,200,55.481386
114.566174,200,56.245312
106.902296,200,56.851571
108.819221,200,57.494292
130.747458,200,58.136154
129.828234,200,58.761934
95.930616,200,59.504308
129.374814,200,60.118186
111.212532,200,60.752342
133.337203,200,61.476737
120.84296,200,62.127153
128.669639,200,62.763105
90.088318,200,63.38379
97.641428,200,64.032827
113.631726,200,64.645177
143.444191,200,65.979182
137.871698,200,67.913179
113.287489,200,69.342179
95.021627,200,70.968179
121.668731,200,72.406179
136.567737,200,73.233176
131.47055,200,73.919897
124.372985,200,74.681901
116.768417,200,75.739897
139.664508,200,76.6354
102.68581,200,77.240877
122.824274,200,77.939003
115.8001,200,78.616569
95.896561,200,79.218234
120.68401,200,79.885798
128.183873,200,80.574455
110.45742,200,81.213245
134.769785,200,81.816647
124.326424,200,82.456563
102.769008,200,83.052285
100.20113,200,83.803787
90.431546,200,84.441564
124.820745,200,85.04558
113.509384,200,85.674508
110.785963,200,86.278838
116.949538,200,86.912112
97.968218,200,87.879048
105.261099,200,89.699046
108.52157,200,91.212047
119.981286,200,92.566048
105.501109,200,94.2701
76.259021,200,95.314044
94.21173,200,96.021652
80.857888,200,96.67787
89.194958,200,97.370695
91.749074,200,98.239655
112.473857,200,99.379654
97.786424,200,100.135311
89.649958,200,100.748888
93.607459,200,101.50146
82.957604,200,102.108994
88.916095,200,102.745862
90.919441,200,103.350346
104.170585,200,104.120555
78.15896,200,104.872016
89.712042,200,105.577794
93.290885,200,106.227445
88.415991,200,106.825846
70.212723,200,107.45313
97.121504,200,108.058504
109.047087,200,108.689608
98.910784,200,109.28674
116.445501,200,109.980686
92.424933,200,111.325688
110.195878,200,114.639692
114.397223,200,116.287692
117.518397,200,117.714688
106.302363,200,119.14869
112.41596,200,120.73469
111.556368,200,122.46869
102.366667,200,123.79769
105.525582,200,124.974689
82.303385,200,126.13069
102.912449,200,127.462689
103.521562,200,128.942691
87.995765,200,130.359692
104.438865,200,131.99069
106.603854,200,132.715468
107.635889,200,133.623469
133.263229,200,134.397283
111.880652,200,135.512279
119.648764,200,136.149675
131.034006,200,136.749844
101.219403,200,137.387977
100.723624,200,138.000741
132.93464,200,138.723543
106.977374,200,139.383639
116.118786,200,139.986054
123.393566,200,140.613029
121.343269,200,141.229932
124.204342,200,141.864807
113.939565,200,142.471854
118.855611,200,143.118571
125.07728,200,143.843714
129.170712,200,144.58761
120.412032,200,145.227596
137.064381,200,145.831821
96.214505,200,146.469612
104.382163,200,147.158688
110.518296,200,148.205682
116.142538,200,149.856685
106.962184,200,151.684685
96.92633,200,152.894683
140.407055,200,153.608855
99.75809,200,154.342773
128.1793,200,154.979786
127.593067,200,155.696806
123.335774,200,156.322722
120.066584,200,157.182249
110.854429,200,158.035865
125.938423,200,159.013988
123.25692,200,159.752992
139.896188,200,160.397546
129.251761,200,161.142057
150.571422,200,161.772473
153.301161,200,162.432529
141.012183,200,163.071168
138.947239,200,163.736062
141.210094,200,164.392696
141.713756,200,165.109874
133.567188,200,165.772922
153.312046,200,166.509748
1236.255506,200,167.212337
1338.641391,200,168.527545
137.762162,200,169.982548
139.88267,200,171.577549
154.074014,200,173.028547
127.143969,200,174.283545
