#{"t_start": 1583702938.5183787, "env_id": null}
r,l,t
-11825.659695,200,5.800448
-11774.134778,200,7.151447
-11629.66851,200,8.58951
-11153.824012,200,11.547867
-15077.589152,200,12.875613
-11885.650001,200,14.783164
-10592.961547,200,16.71316
-10479.789566,200,18.459258
-10957.24015,200,19.67531
-12591.94774,200,20.919311
-9948.568364,200,22.463316
-8685.106515,200,23.799312
-7840.057505,200,26.705754
-9582.565131,200,28.439764
-8675.058007,200,30.905891
-8485.892501,200,32.934755
-7310.836385,200,34.602758
-7807.457123,200,36.034759
-7301.922774,200,37.290759
-7067.699763,200,38.601845
-7770.005993,200,40.057462
-8758.486791,200,41.359565
-8565.620902,200,42.630876
-7700.51862,200,44.062049
-9037.295315,200,45.907035
-7834.55914,200,47.281176
-7857.773497,200,48.720178
-7738.105154,200,50.001351
-7776.295068,200,51.606352
-7257.815576,200,52.883355
-6944.674278,200,54.414352
-8652.826607,200,55.733
-7642.328986,200,57.139168
-6782.596188,200,58.447101
-8821.433523,200,59.766098
-7616.743607,200,61.237068
-7856.261839,200,62.903065
-8057.950984,200,64.285151
-7886.120319,200,65.596621
-8881.288484,200,66.898504
-7841.913992,200,68.372461
-9027.19904,200,69.788461
-8520.752771,200,71.173464
-9477.301941,200,72.621465
-8820.461149,200,74.13957
-8642.41035,200,75.840568
-8103.031148,200,77.331578
-8890.507745,200,78.65257
-8949.78618,200,80.21887
-8951.931961,200,82.187729
-5907.319612,200,83.603567
-8850.951878,200,84.98486
-9602.993201,200,87.276735
-9433.933696,200,88.94532
-7590.215522,200,91.135318
-7592.481553,200,92.760315
-8655.7147,200,94.41532
-7735.961309,200,95.685359
-7529.269007,200,96.931328
-8049.016354,200,98.364318
-8038.154973,200,99.679316
-8548.949618,200,100.90756
-6804.409124,200,102.250455
-7519.531442,200,103.60741
-6791.415019,200,105.084414
-7552.872399,200,106.523419
-8399.923814,200,108.007417
-8459.96554,200,109.71941
-8318.195017,200,111.173456
-8402.361453,200,112.686412
-8343.665414,200,114.156415
-6795.298652,200,115.639415
-8026.002968,200,117.147413
-6382.075973,200,118.51457
-6438.125978,200,120.236861
-8565.047347,200,121.803861
-8562.238251,200,123.295861
-6439.010482,200,124.693862
-7669.794439,200,126.076986
-8449.549763,200,127.763942
-6584.642026,200,129.181239
-8377.92318,200,130.810036
-8241.098907,200,132.267953
-8253.54459,200,133.904943
-6669.617825,200,135.30915
-7104.230448,200,136.915186
-6788.945644,200,138.294143
-6737.485838,200,139.814149
-8351.950561,200,141.81814
-6723.967281,200,143.565143
-8252.326555,200,145.547139
-6396.423204,200,147.344111
-7063.732228,200,149.08611
-7849.027936,200,151.026112
-7564.073264,200,152.628105
-7017.195278,200,154.083107
-8212.952629,200,155.801111
-6955.284562,200,157.30115
-8313.309659,200,158.809022
-8207.187075,200,160.344139
-7094.82972,200,161.813022
-7078.316097,200,163.48302
-6956.017811,200,164.995019
-6598.720579,200,166.460176
-6663.632002,200,168.005182
-6925.598616,200,169.371131
-8296.863828,200,170.925173
-7194.954571,200,172.305971
-7882.617095,200,174.094154
-7572.00968,200,175.446196
-8180.032792,200,177.026152
-8288.157283,200,178.55215
-7651.6191,200,180.475388
-7205.351397,200,182.148077
-8199.562218,200,183.663318
-8221.206098,200,185.466174
-6973.778164,200,186.922263
-8259.165212,200,188.443256
-7303.578415,200,189.884557
-8249.760985,200,191.517293
-8279.189276,200,193.04835
-7646.568154,200,194.498341
-8273.07968,200,196.16139
-6745.247662,200,197.663387
-6462.637037,200,199.101517
-8113.079087,200,200.56039
-6872.371432,200,202.07759
-8322.205216,200,203.581393
-6498.574972,200,205.040953
-8243.391124,200,206.681848
-8123.745113,200,208.272844
-6665.943105,200,209.712853
-7970.45165,200,211.102844
-6092.598653,200,212.514887
-6586.78527,200,214.015855
-8301.162545,200,215.528859
-5905.358118,200,217.202846
-8332.10759,200,218.645988
-6956.203942,200,220.211852
-6589.74616,200,221.60085
-6306.336956,200,223.037843
-6851.127839,200,224.420849
-6567.364573,200,226.000974
-7011.597435,200,227.410877
-6371.797857,200,228.928973
-6728.83635,200,230.368042
-8234.866238,200,231.969848
-6912.342656,200,233.417081
-7159.523331,200,234.814074
-6870.898358,200,236.228074
-6452.401064,200,237.782084
-6447.376754,200,239.354077
-8329.140787,200,240.810178
-6675.324742,200,242.185256
-7029.237765,200,243.628259
-6057.096263,200,244.977257
-8344.996699,200,246.484259
-8361.775267,200,247.991258
-8299.164083,200,249.665446
-6819.078107,200,251.068564
-8429.089128,200,252.533005
-6587.076267,200,254.012561
-6623.648316,200,255.454559
-6787.084594,200,256.886023
-6672.059261,200,258.306021
-8619.866529,200,259.915215
-6172.55719,200,261.363214
-8000.531115,200,262.895101
-6358.058637,200,264.441217
-8324.417833,200,266.023188
-6495.633025,200,267.481265
-6499.284209,200,268.852272
-7068.52465,200,270.27441
-8220.892109,200,271.982373
-7950.29938,200,273.402513
-7932.96183,200,274.82863
-6896.222791,200,276.250057
-5697.042985,200,277.808116
-8536.255659,200,279.209359
-8353.712,200,280.619318
-6266.756555,200,282.132441
-6997.441976,200,283.799443
-7016.255252,200,285.152452
-7821.727787,200,286.862986
-7386.989597,200,288.281777
-6479.378781,200,289.801638
-7539.638415,200,291.261839
-6652.158928,200,292.722985
-6352.445949,200,294.304931
-7211.64876,200,295.840045
-6669.103416,200,297.264202
-6389.016096,200,298.653194
-6170.464106,200,300.138189
-6402.290573,200,301.748156
-6298.018127,200,303.135156
-6200.235769,200,304.779148
-6109.150386,200,306.302148
-6482.422826,200,307.883146
-6139.386679,200,309.308314
-6595.146976,200,310.77715
-6244.84014,200,312.359147
-6223.043502,200,313.786439
-6620.339749,200,315.448439
-6605.11605,200,316.832432
-6494.257973,200,318.455431
-5930.578516,200,319.853439
-7061.397808,200,321.308512
-6199.689832,200,322.709505
-6471.537673,200,324.32559
-6742.349081,200,325.984324
-6533.048305,200,327.407328
-6856.524909,200,328.87233
-6612.872806,200,330.428324
-6638.234239,200,331.904376
-6695.512757,200,333.349328
-6650.292742,200,334.812423
-7118.865242,200,337.00942
-6872.079242,200,338.471521
-6922.625652,200,339.953518
-7160.507968,200,341.467518
-6237.836855,200,342.939645
-6547.00627,200,344.498611
-6810.428087,200,346.107827
-6604.011983,200,347.887713
-7282.516625,200,349.291715
-6491.734321,200,350.742585
-7097.855204,200,352.149782
-7612.449273,200,353.744816
-8014.670671,200,355.197086
-7370.337869,200,356.694127
-7137.273377,200,358.106196
-7190.617795,200,359.814633
-7363.259853,200,361.26564
-8158.133454,200,362.752061
-8361.993235,200,364.311191
-7266.885119,200,365.796186
-8237.791318,200,367.340193
-7120.442618,200,368.976193
-7564.161867,200,370.669186
-8231.708194,200,372.207187
-7410.999488,200,373.665185
-8209.474814,200,375.181303
-7689.004814,200,376.754429
-7843.605061,200,378.259485
-6879.415187,200,379.742521
-7830.65111,200,381.382518
-7199.959482,200,382.888522
-7938.59825,200,384.301486
-6988.345207,200,385.752244
-7793.747587,200,387.126432
-7719.550752,200,388.690399
-8482.046483,200,390.037399
-8012.726869,200,391.792497
-7484.999381,200,393.483501
-7483.0202,200,394.934988
-7675.729326,200,396.719412
-8749.099597,200,398.672322
-8811.198481,200,400.521495
-9285.392667,200,401.8455
-7589.419231,200,403.44453
-8879.027211,200,404.749906
-8600.649974,200,406.284864
-9011.468507,200,407.613022
-8443.442768,200,408.961112
-8930.492725,200,410.332078
-8890.77392,200,411.796114
-7780.50415,200,413.348068
-7958.697156,200,414.761119
-8011.993203,200,416.141078
-9330.18638,200,417.567114
-10668.346117,200,418.888712
-10384.588834,200,420.179789
-10870.247133,200,421.504849
-10061.9897,200,423.00384
-11180.398651,200,424.539847
-9024.853682,200,426.026605
-9028.135806,200,427.427606
-8692.998701,200,428.960805
-7137.235564,200,430.35983
-10387.50001,200,431.709797
-10674.037945,200,433.070933
-7609.073933,200,434.670894
-8103.753291,200,436.253976
-9035.802348,200,437.613894
-8253.06894,200,439.178422
-7249.302783,200,440.781417
-7572.556904,200,442.221457
-8797.134999,200,443.608424
-8273.888728,200,445.135461
-6802.430273,200,447.161017
-7746.436808,200,448.827254
-8146.775678,200,450.460908
-8188.594361,200,452.094867
-7661.440768,200,453.643896
-8025.244132,200,455.104118
-8184.465999,200,456.42946
-7318.611316,200,458.272454
-7310.843387,200,459.716496
-7096.435704,200,461.083533
-7568.330204,200,462.71857
-7081.544301,200,464.309533
-7118.875089,200,465.682293
