#{"t_start": 1583749743.7954168, "env_id": null}
r,l,t
44.213084,200,1.716713
44.318758,200,2.381563
59.574098,200,3.036775
62.529332,200,3.742163
62.276968,200,4.396333
51.205714,200,5.157548
54.164311,200,5.885388
62.147007,200,6.592836
84.089622,200,7.26501
188.598091,200,7.910032
139.656984,200,8.593146
269.657675,200,9.247283
68.328495,200,9.982011
140.607559,200,10.658116
230.60738,200,11.461963
68.771407,200,12.171616
252.191911,200,12.886226
68.549869,200,13.62615
67.2232,200,14.322839
66.340378,200,15.144898
682.252313,200,15.8341
68.517693,200,16.635349
68.36385,200,17.48506
175.922767,200,18.226085
78.413687,200,19.000162
247.29041,200,19.886203
181.188535,200,20.708089
67.228851,200,21.487346
67.828131,200,22.402346
135.36724,200,23.135263
214.599283,200,23.910973
214.20402,200,24.590491
245.32831,200,25.258053
66.792614,200,26.104635
214.856686,200,26.83728
66.944838,200,27.6878
67.057924,200,28.406083
175.837726,200,29.13312
109.971729,200,29.836904
68.35262,200,30.563384
175.9205,200,31.25868
66.474603,200,31.952492
222.418043,200,32.66258
164.35325,200,33.438689
221.263963,200,34.134107
97.813197,200,34.829908
96.065884,200,35.543181
211.411476,200,36.342482
67.08802,200,37.088163
240.902856,200,37.804612
69.002401,200,38.633464
233.17101,200,39.352257
232.293441,200,40.052227
251.810039,200,40.780754
230.10625,200,41.496556
226.511351,200,42.237524
211.347986,200,42.960669
193.215499,200,43.681473
198.258391,200,44.500471
267.203718,200,45.196492
282.142712,200,45.935544
262.466169,200,46.75439
232.574977,200,47.559136
249.954376,200,48.249743
243.299607,200,48.980271
235.026235,200,49.832665
235.867549,200,50.538734
247.149947,200,51.267509
223.120805,200,51.961446
259.204844,200,52.700971
223.125118,200,53.401685
221.87552,200,54.137395
197.943347,200,54.962609
251.341795,200,55.662417
215.221651,200,56.393042
220.67896,200,57.190616
235.175312,200,57.930285
215.53986,200,58.637653
204.728103,200,59.37461
199.120061,200,60.128028
210.909089,200,61.013904
214.36654,200,61.760292
246.452343,200,62.475332
211.575339,200,63.212773
210.636208,200,63.921549
219.666068,200,64.659991
192.269818,200,65.351379
195.278589,200,66.196142
218.34402,200,66.930581
200.895835,200,67.754827
214.96738,200,68.486131
250.571909,200,69.183416
229.469558,200,69.922078
233.743772,200,70.642331
194.213042,200,71.480493
188.488201,200,72.167548
214.94645,200,72.888582
184.831297,200,73.61249
178.210843,200,74.303308
210.747123,200,75.035272
178.947204,200,75.713351
175.443112,200,76.527663
206.339051,200,77.255594
179.42673,200,78.173968
178.15338,200,78.923012
214.772954,200,79.651995
207.206186,200,80.367128
200.387844,200,81.068873
222.681653,200,81.840271
219.67344,200,82.618959
213.556808,200,83.349986
207.445917,200,84.063043
195.662899,200,84.849122
201.141144,200,85.698118
224.228517,200,86.533888
219.410359,200,87.427808
214.096918,200,88.249707
202.946842,200,89.120055
124.221583,200,89.885678
192.189878,200,90.610796
266.700375,200,91.326535
208.143427,200,92.013621
198.649198,200,92.820554
245.771297,200,93.571809
214.516582,200,94.294913
209.585862,200,94.994936
204.979366,200,95.723087
238.904958,200,96.424364
236.987407,200,97.163306
207.277222,200,97.926077
237.12766,200,98.80655
226.831138,200,99.757191
256.278949,200,100.547001
196.808854,200,101.271962
233.507109,200,102.006937
250.854686,200,102.751143
219.283157,200,103.499851
238.402119,200,104.292367
222.648277,200,105.050036
247.114653,200,105.762516
228.981947,200,106.577862
222.990336,200,107.282158
228.299922,200,108.051037
230.983184,200,108.761102
227.843225,200,109.736914
226.172648,200,110.472862
254.602466,200,111.177725
223.800267,200,111.934017
208.993446,200,112.642165
211.358263,200,113.379842
199.926025,200,114.083944
219.675671,200,114.94281
245.056782,200,115.686971
238.719556,200,116.41944
266.633138,200,117.163828
238.66117,200,117.884365
241.636623,200,118.633448
250.630023,200,119.345084
253.24837,200,120.278617
237.78648,200,121.003748
239.94967,200,121.763883
260.266036,200,122.509977
221.865858,200,123.210023
251.753694,200,123.962969
239.054558,200,124.674942
223.771704,200,125.470061
234.410292,200,126.232967
256.511794,200,126.981233
235.163903,200,127.721298
284.889882,200,128.437146
234.074491,200,129.16845
268.846005,200,129.87579
271.300819,200,130.732841
254.168958,200,131.555653
277.281837,200,132.297028
272.311343,200,133.00346
282.119547,200,133.766949
